Year,Team,Seed,Final Round,Games Won,Conf,Offensive Efficiency,Defensive Efficiency,Total Efficiency
2017,Gonzaga,1,Finals,5,WCC,117.816,86.31,1.365033020507473
2017,North Carolina,1,CHAMPS,6,ACC,121.09,91.58,1.3222319283686395
2017,Villanova,1,R32,1,BE,122.25,92.51700000000001,1.321378773630792
2017,Florida,4,Elite Eight,3,SEC,116.62299999999999,88.93,1.3114022264702574
2017,Kentucky,2,Elite Eight,3,SEC,118.314,91.37,1.294888913210025
2017,West Virginia,4,Sweet Sixteen,2,B12,115.43,89.35,1.2918858421936208
2017,Virginia,5,R32,1,ACC,111.848,86.92,1.2867924528301886
2017,Kansas,1,Elite Eight,3,B12,121.58,94.53200000000001,1.2861253332204965
2017,Louisville,2,R32,1,ACC,117.62,91.59,1.2842013320231467
2017,Duke,2,R32,1,ACC,122.16,95.64200000000001,1.2772631270780617
2017,SMU,6,R64,0,Amer,120.01,94.12899999999999,1.2749524588596501
2017,Wichita St.,10,R32,1,MVC,117.22200000000001,92.215,1.2711814780675597
2017,Michigan,7,Sweet Sixteen,2,B10,123.32,97.663,1.2627095215178727
2017,Saint Mary's,7,R32,1,WCC,118.015,93.82600000000001,1.257807004455055
2017,Oregon,3,Final Four,4,P12,117.81700000000001,93.824,1.255723482264666
2017,Purdue,4,Sweet Sixteen,2,B10,116.624,93.12,1.252405498281787
2017,Cincinnati,6,R32,1,Amer,115.23200000000001,92.11200000000001,1.2509987840889352
2017,Iowa St.,5,R32,1,B12,120.01100000000001,96.24799999999999,1.2468934419416509
2017,Wisconsin,8,Sweet Sixteen,2,B10,114.53399999999999,92.01100000000001,1.2447859495060372
2017,Baylor,3,Sweet Sixteen,2,B12,116.425,93.927,1.2395264407465372
2017,Oklahoma St.,10,R64,0,B12,126.81,102.3141,1.2394186138567411
2017,Notre Dame,5,R32,1,ACC,119.31200000000001,96.45100000000001,1.237021907497071
2017,UCLA,3,Sweet Sixteen,2,P12,122.83,99.69,1.2321195706690742
2017,Arizona,2,Sweet Sixteen,2,P12,117.62100000000001,95.64299999999999,1.2297920391455728
2017,South Carolina,7,Final Four,4,SEC,108.78,89.04,1.221698113207547
2017,Butler,4,Sweet Sixteen,2,BE,117.719,96.958,1.2141236411642153
2017,Florida St.,3,R32,1,ACC,115.429,95.23700000000001,1.2120184382120394
2017,Creighton,6,R64,0,BE,114.535,95.235,1.202656586339056
2017,Vanderbilt,9,R64,0,SEC,112.54299999999999,93.825,1.1994990674127364
2017,Marquette,10,R64,0,BE,121.87,101.8124,1.1970054728107775
2017,Wake Forest,11,R68,0,ACC,122.44,102.6154,1.193193224408812
2017,Kansas St.,11,R64,0,B12,112.24600000000001,94.23,1.1911917648307333
2017,Miami FL,8,R64,0,ACC,110.86,93.12100000000001,1.1904940883366801
2017,Rhode Island,11,R32,1,A10,111.15799999999999,94.12799999999999,1.1809238483766786
2017,Xavier,11,Elite Eight,3,BE,115.62700000000001,97.964,1.1803009268710956
2017,Minnesota,5,R64,0,B10,109.369,92.919,1.1770359129994943
2017,Michigan St.,9,R32,1,B10,111.649,94.934,1.1760696905218362
2017,Northwestern,8,R32,1,B10,111.255,95.238,1.1681786681786681
2017,Maryland,6,R64,0,B10,113.43799999999999,97.965,1.157944163731945
2017,Virginia Tech,9,R64,0,ACC,118.413,102.5148,1.1550819979163984
2017,Middle Tennessee,12,R32,1,CUSA,111.256,96.654,1.151074968444141
2017,Arkansas,8,R32,1,SEC,114.93299999999999,99.891,1.1505841367090126
2017,Dayton,7,R64,0,A10,111.65,97.059,1.1503312418219847
2017,Providence,11,R68,0,BE,108.385,94.531,1.1465550983275328
2017,Seton Hall,9,R64,0,BE,108.97399999999999,95.64399999999999,1.1393710007946134
2017,Nevada,12,R64,0,MWC,113.73700000000001,100.7108,1.1293426325677087
2017,Princeton,12,R64,0,Ivy,107.697,95.44,1.1284262363788768
2017,VCU,10,R64,0,A10,108.19200000000001,95.947,1.1276225416115147
2017,USC,11,R32,1,P12,113.339,100.6106,1.1265115206548812
2017,UNC Wilmington,12,R64,0,CAA,117.71799999999999,105.0197,1.1209135047995755
2017,Vermont,13,R64,0,AE,110.06299999999999,98.271,1.1199947085101403
2017,East Tennessee St.,13,R64,0,SC,107.3101,97.161,1.1044565206204136
2017,Bucknell,13,R64,0,Pat,108.38799999999999,99.182,1.092819261559557
2017,New Mexico St.,14,R64,0,WAC,109.46799999999999,102.5149,1.0678252624740403
2017,Florida Gulf Coast,14,R64,0,ASun,107.896,103.4171,1.043309085247991
2017,Winthrop,13,R64,0,BSth,105.3133,101.3117,1.0394979059674252
2017,Iona,14,R64,0,MAAC,109.37,106.0216,1.0315822436182815
2017,Troy,15,R64,0,SB,108.87799999999999,106.623,1.021149282987723
2017,Northern Kentucky,15,R64,0,Horz,105.5128,104.1185,1.013391472216753
2017,Kent St.,14,R64,0,MAC,104.1159,102.9162,1.0116570569064929
2017,North Dakota,15,R64,0,BSky,103.1176,102.7155,1.0039146964187489
2017,Jacksonville St.,15,R64,0,OVC,104.4154,104.2187,1.0018873772173325
2017,North Carolina Central,16,R68,0,MEAC,101.4213,101.3116,1.0010827980211545
2017,South Dakota St.,16,R64,0,Sum,108.29,109.7291,0.9868849739950478
2017,New Orleans,16,R68,0,Slnd,99.6251,101.2115,0.9843258918205935
2017,Mount St. Mary's,16,R64,0,NEC,98.9262,101.8125,0.9716508287292818
2017,UC Davis,16,R64,0,BW,97.4287,100.8109,0.9664500564919072
2017,Texas Southern,16,R64,0,SWAC,100.6227,106.5225,0.9446145180595649
2018,Villanova,1,CHAMPS,6,BE,128.41,94.115,1.3643946235987887
2018,Virginia,1,R64,0,ACC,114.631,86.71,1.3220043824241727
2018,Duke,2,Elite Eight,3,ACC,122.33,92.97,1.3158007959556846
2018,Purdue,2,Sweet Sixteen,2,B10,123.22,95.73299999999999,1.2871214732641827
2018,Cincinnati,2,R32,1,Amer,111.656,87.72,1.2728682170542636
2018,Kansas,1,Final Four,4,B12,122.14,96.441,1.2664738026358084
2018,Michigan,3,Finals,5,B10,114.434,90.43,1.2654428839986729
2018,West Virginia,5,Sweet Sixteen,2,B12,120.97,95.835,1.2622736995878334
2018,Michigan St.,3,R32,1,B10,118.911,94.31700000000001,1.260758929991412
2018,North Carolina,2,R32,1,ACC,120.78,97.15100000000001,1.243219318380665
2018,Tennessee,3,R32,1,SEC,114.236,92.05,1.241021184139055
2018,Xavier,1,R32,1,BE,120.96,97.759,1.2373285324113381
2018,Gonzaga,4,Sweet Sixteen,2,WCC,117.215,94.92,1.234882005899705
2018,Texas Tech,3,Elite Eight,3,B12,112.75,91.54,1.231701988201879
2018,Ohio St.,5,R32,1,B10,116.022,94.316,1.2301412273633319
2018,Florida,6,R32,1,SEC,115.227,93.913,1.2269547347012661
2018,Houston,6,R32,1,Amer,114.829,93.914,1.2227037502395808
2018,Butler,10,R32,1,BE,116.12100000000001,95.32799999999999,1.218120594159114
2018,Kentucky,5,Sweet Sixteen,2,SEC,115.823,95.632,1.2111322569851095
2018,Clemson,5,Sweet Sixteen,2,ACC,112.552,93.18,1.2078986907061602
2018,Seton Hall,8,R32,1,BE,117.814,98.266,1.1989294364276555
2018,Creighton,8,R64,0,BE,116.219,97.456,1.1925279100311934
2018,TCU,6,R64,0,B12,119.51,100.598,1.1879957852044774
2018,Auburn,4,R32,1,SEC,114.039,96.949,1.176278249388854
2018,Wichita St.,4,R64,0,Amer,120.95,102.7146,1.177534644539335
2018,Texas A&M,7,Sweet Sixteen,2,SEC,111.26,94.71799999999999,1.1746447348972742
2018,Florida St.,9,Elite Eight,3,ACC,113.24700000000001,96.443,1.1742376325912718
2018,Miami FL,6,R64,0,ACC,113.344,96.645,1.1727870039836514
2018,Kansas St.,9,Elite Eight,3,B12,109.68,93.711,1.1704068892659347
2018,Virginia Tech,8,R64,0,ACC,115.226,98.67299999999999,1.1677561237623262
2018,Texas,10,R64,0,B12,109.382,93.712,1.1672144442547379
2018,Arizona,4,R64,0,P12,117.016,100.494,1.1644078253428065
2018,San Diego St.,11,R64,0,MWC,110.273,94.921,1.1617344950011061
2018,Arkansas,7,R64,0,SEC,116.71799999999999,100.49700000000001,1.1614078032180062
2018,Nevada,7,Sweet Sixteen,2,MWC,118.912,102.5138,1.1599609028247904
2018,Loyola Chicago,11,Final Four,4,MVC,110.566,95.43,1.1586084040658073
2018,Missouri,8,R64,0,SEC,111.06200000000001,96.037,1.1564501181836169
2018,Oklahoma,10,R64,0,B12,114.632,99.584,1.1511086118251928
2018,Syracuse,11,Sweet Sixteen,2,ACC,106.0135,92.16,1.150320095486111
2018,Davidson,12,R64,0,A10,117.01700000000001,102.3132,1.1437136166203385
2018,North Carolina St.,9,R64,0,ACC,115.625,101.3111,1.1412865914988586
2018,Arizona St.,11,R68,0,P12,115.72399999999999,102.113,1.1332935081723188
2018,Alabama,9,R32,1,SEC,107.9103,95.32700000000001,1.1320014266682052
2018,UCLA,11,R68,0,P12,113.743,100.699,1.129534553471236
2018,Providence,10,R64,0,BE,108.493,95.936,1.1308893428952633
2018,South Dakota St.,12,R64,0,Sum,113.245,100.49600000000001,1.1268607705779334
2018,Rhode Island,7,R32,1,A10,109.77799999999999,97.353,1.12762832167473
2018,New Mexico St.,12,R64,0,WAC,106.812,95.023,1.1240647001252329
2018,Buffalo,13,R32,1,MAC,114.53299999999999,102.7147,1.1150594802886051
2018,St. Bonaventure,11,R64,0,A10,109.679,99.786,1.0991421642314554
2018,Murray St.,12,R64,0,OVC,110.665,100.8104,1.097753803179037
2018,UNC Greensboro,13,R64,0,SC,103.4191,95.225,1.0860498818587556
2018,Montana,14,R64,0,BSky,106.7123,98.469,1.0837146716225412
2018,Georgia St.,15,R64,0,SB,108.88799999999999,101.5119,1.0726624169186074
2018,Stephen F. Austin,14,R64,0,Slnd,103.8184,97.15,1.0686402470406586
2018,Bucknell,14,R64,0,Pat,108.09899999999999,101.3113,1.0669984493338847
2018,Penn,16,R64,0,Ivy,103.6187,97.65799999999999,1.061036474226382
2018,Marshall,13,R32,1,CUSA,108.889,102.5141,1.0621855920307548
2018,College of Charleston,13,R64,0,CAA,106.8121,104.3173,1.0239154962791406
2018,Wright St.,14,R64,0,Horz,99.4255,97.25200000000001,1.0223491547731665
2018,Lipscomb,15,R64,0,ASun,103.2195,101.8124,1.013820516950784
2018,Iona,15,R64,0,MAAC,108.88600000000001,107.6241,1.011725069013353
2018,UMBC,16,R32,1,AE,102.1207,102.2131,0.9990960062849087
2018,Cal St. Fullerton,15,R64,0,BW,101.6222,102.5137,0.9913036013723044
2018,Radford,16,R64,0,BSth,101.3229,102.8152,0.9854856091317237
2018,LIU Brooklyn,16,R68,0,NEC,101.9214,109.9286,0.9271599929408726
2018,Texas Southern,16,R64,0,SWAC,104.1176,112.4318,0.926051170576296
2018,North Carolina Central,16,R68,0,MEAC,95.0322,110.3293,0.8613505206685803
2019,Gonzaga,1,Elite Eight,3,WCC,124.41,91.08,1.3659420289855073
2019,Virginia,1,CHAMPS,6,ACC,123.82,91.19,1.357824322842417
2019,Texas Tech,3,Finals,5,B12,115.917,86.41,1.341476680939706
2019,Michigan,2,Sweet Sixteen,2,B10,115.323,86.82,1.3282999308914998
2019,Duke,1,Elite Eight,3,ACC,119.68,90.46,1.323015697545877
2019,Michigan St.,2,Final Four,4,B10,120.67,92.31299999999999,1.3071831703010413
2019,North Carolina,1,Sweet Sixteen,2,ACC,120.86,92.61399999999999,1.3049862871704063
2019,Kentucky,2,Elite Eight,3,SEC,118.31200000000001,91.07,1.2991325354123204
2019,Purdue,3,Elite Eight,3,B10,123.54,95.631,1.2918405119678766
